Date,Open,High,Low,Close,Adj Close,Volume
2017-07-18,50420.000000,50880.000000,50360.000000,50840.000000,44809.949219,7084450
2017-07-19,50620.000000,50820.000000,50000.000000,50740.000000,44721.808594,11157500
2017-07-20,50760.000000,51320.000000,50560.000000,51200.000000,45127.250000,8367600
2017-07-21,50860.000000,51160.000000,50520.000000,51080.000000,45021.480469,8449050
2017-07-24,50700.000000,51000.000000,50620.000000,50860.000000,44827.574219,7099750
2017-07-25,50500.000000,50760.000000,49940.000000,50000.000000,44069.585938,10810600
2017-07-26,49600.000000,50020.000000,49300.000000,49840.000000,43928.558594,11224800
2017-07-27,50000.000000,50640.000000,49560.000000,49800.000000,43893.296875,11449500
2017-07-28,49800.000000,49800.000000,47380.000000,47760.000000,42095.265625,26168300
2017-07-31,47420.000000,48240.000000,46920.000000,48200.000000,42483.070313,12701400
2017-08-01,48000.000000,48840.000000,47540.000000,48600.000000,42835.632813,11369500
2017-08-02,49200.000000,49340.000000,48600.000000,49000.000000,43188.187500,7777450
2017-08-03,49000.000000,49000.000000,47120.000000,47780.000000,42112.898438,15540800
2017-08-04,48160.000000,48180.000000,47500.000000,47700.000000,42042.382813,8359200
2017-08-07,47500.000000,48080.000000,47440.000000,47580.000000,41936.613281,7218250
2017-08-08,47980.000000,48260.000000,47480.000000,47720.000000,42060.000000,7979600
2017-08-09,47400.000000,47400.000000,46240.000000,46280.000000,40790.800781,14555400
2017-08-10,46200.000000,46320.000000,45460.000000,45900.000000,40455.875000,22986150
2017-08-11,45120.000000,45300.000000,44220.000000,44620.000000,39327.691406,25407300
2017-08-14,45120.000000,45400.000000,44720.000000,45000.000000,39662.613281,19185600
2017-08-16,46220.000000,46380.000000,46000.000000,46200.000000,40720.285156,21913650
2017-08-17,46960.000000,47300.000000,46740.000000,47040.000000,41460.660156,12415850
2017-08-18,46760.000000,47240.000000,46240.000000,46900.000000,41337.269531,10477950
2017-08-21,47240.000000,47240.000000,46580.000000,46840.000000,41284.386719,5103450
2017-08-22,46820.000000,47160.000000,46700.000000,47000.000000,41425.406250,7381750
2017-08-23,47780.000000,47780.000000,47180.000000,47480.000000,41848.464844,9384700
2017-08-24,47520.000000,47660.000000,47340.000000,47520.000000,41883.730469,8657450
2017-08-25,47880.000000,47880.000000,46720.000000,47020.000000,41443.031250,11243550
2017-08-28,47020.000000,47240.000000,45960.000000,46100.000000,40632.152344,9962100
2017-08-29,45640.000000,46080.000000,45160.000000,46080.000000,40614.519531,12623650
2017-08-30,46380.000000,46400.000000,45960.000000,46200.000000,40720.285156,7513000
2017-08-31,46220.000000,46640.000000,46000.000000,46320.000000,40826.058594,11011700
2017-09-01,46460.000000,46640.000000,46300.000000,46480.000000,40967.074219,10641700
2017-09-04,45780.000000,46360.000000,45500.000000,46040.000000,40579.265625,7943500
2017-09-05,46240.000000,46900.000000,45960.000000,46760.000000,41213.875000,11716100
2017-09-06,46760.000000,47180.000000,46700.000000,47000.000000,41425.406250,10811050
2017-09-07,47000.000000,48220.000000,47000.000000,48120.000000,42412.558594,9676500
2017-09-08,48700.000000,49180.000000,48580.000000,49080.000000,43258.695313,10893000
2017-09-11,49700.000000,50180.000000,49500.000000,49800.000000,43893.296875,10374750
2017-09-12,50200.000000,50220.000000,49140.000000,49600.000000,43717.019531,12029750
2017-09-13,49820.000000,50400.000000,49440.000000,49620.000000,43734.652344,9357000
2017-09-14,50060.000000,50320.000000,49760.000000,50300.000000,44333.992188,14204750
2017-09-15,50300.000000,50560.000000,49860.000000,50400.000000,44422.140625,10757300
2017-09-18,50540.000000,52480.000000,50520.000000,52480.000000,46255.425781,11524950
2017-09-19,52500.000000,52640.000000,51780.000000,52120.000000,45938.136719,9850400
2017-09-20,52120.000000,52500.000000,51840.000000,52220.000000,46026.277344,9292750
2017-09-21,52220.000000,52960.000000,52220.000000,52800.000000,46537.480469,8839800
2017-09-25,53000.000000,53680.000000,53000.000000,53620.000000,47260.210938,9303100
2017-09-26,53620.000000,53620.000000,53620.000000,53620.000000,47260.210938,0
2017-09-27,52000.000000,52200.000000,51500.000000,51680.000000,45550.316406,10797000
2017-09-28,52260.000000,52460.000000,51260.000000,51260.000000,45302.863281,12025450
2017-09-29,51180.000000,51620.000000,50840.000000,51280.000000,45320.535156,12909400
2017-10-10,53360.000000,53640.000000,52800.000000,52800.000000,46663.882813,20519800
2017-10-11,53600.000000,54760.000000,53340.000000,54640.000000,48290.050781,13652150
2017-10-12,54840.000000,55160.000000,54100.000000,54800.000000,48431.460938,13890700
2017-10-13,54540.000000,54840.000000,53780.000000,54000.000000,47724.429688,12601650
2017-10-16,53980.000000,54860.000000,53760.000000,53920.000000,47653.730469,9769950
2017-10-17,54020.000000,55380.000000,54000.000000,54800.000000,48431.460938,10607800
2017-10-18,54820.000000,55240.000000,54040.000000,54760.000000,48396.109375,10110750
2017-10-19,54700.000000,54700.000000,52980.000000,52980.000000,46822.976563,12108700
2017-10-20,52800.000000,54100.000000,52800.000000,53840.000000,47583.027344,8027050
2017-10-23,54600.000000,54640.000000,54000.000000,54300.000000,47989.570313,8311050
2017-10-24,54700.000000,54780.000000,54040.000000,54040.000000,47759.769531,5806050
2017-10-25,54040.000000,54420.000000,53700.000000,53900.000000,47636.050781,5882850
2017-10-26,53720.000000,53900.000000,52400.000000,52400.000000,46310.375000,9776550
2017-10-27,52400.000000,53320.000000,52140.000000,53080.000000,46911.343750,7392500
2017-10-30,53780.000000,54320.000000,53700.000000,54040.000000,47759.769531,8196150
2017-10-31,54060.000000,55440.000000,53500.000000,55080.000000,48678.921875,13381550
2017-11-01,57500.000000,57500.000000,56180.000000,57220.000000,50570.222656,14510250
2017-11-02,57500.000000,57520.000000,56760.000000,57060.000000,50428.812500,10721050
2017-11-03,57060.000000,57140.000000,55860.000000,56380.000000,49827.835938,9935800
2017-11-06,56380.000000,56500.000000,55340.000000,56380.000000,49827.835938,9000950
2017-11-07,56380.000000,56920.000000,55860.000000,56100.000000,49580.382813,7464550
2017-11-08,56100.000000,57060.000000,55860.000000,56760.000000,50163.671875,8520200
2017-11-09,56920.000000,56920.000000,55900.000000,56340.000000,49792.484375,11994050
2017-11-10,55800.000000,56540.000000,55780.000000,56400.000000,49845.511719,6748800
2017-11-13,56400.000000,56800.000000,56100.000000,56380.000000,49827.835938,8806650
2017-11-14,56380.000000,56740.000000,55920.000000,55920.000000,49421.300781,6725000
2017-11-15,55920.000000,56320.000000,55320.000000,55340.000000,48908.699219,8816950
2017-11-16,null,null,null,null,null,null
2017-11-17,56400.000000,56880.000000,55820.000000,55820.000000,49332.914063,10733150
2017-11-20,55900.000000,55980.000000,55200.000000,55200.000000,48784.972656,9472750
2017-11-21,55400.000000,55840.000000,55280.000000,55280.000000,48855.671875,10324700
2017-11-22,55980.000000,56200.000000,55620.000000,55960.000000,49456.644531,7952950
2017-11-23,null,null,null,null,null,null
2017-11-24,55300.000000,55500.000000,55180.000000,55460.000000,49014.750000,4536200
2017-11-27,55360.000000,55360.000000,52640.000000,52640.000000,46522.480469,18128900
2017-11-28,52700.000000,53280.000000,51720.000000,53280.000000,47088.101563,13499400
2017-11-29,53200.000000,53240.000000,52500.000000,52600.000000,46487.128906,9590250
2017-11-30,50800.000000,51860.000000,50200.000000,50800.000000,44896.316406,29634150
2017-12-01,50800.000000,51780.000000,50800.000000,50840.000000,44931.664063,12868600
2017-12-04,50840.000000,51340.000000,50020.000000,51340.000000,45373.558594,14865050
2017-12-05,50600.000000,51300.000000,50280.000000,51260.000000,45302.863281,9326550
2017-12-06,51260.000000,51560.000000,50020.000000,50020.000000,44206.964844,10889200
